id,label,name
trip_VENEDİK & MİLANO TURU 08 – 12_NA_3,Trip,VENEDİK & MİLANO TURU 08 – 12
country_İtalya,Country,İtalya
city_Venedik,City,Venedik
city_Milano,City,Milano
restaurant_Ristorante Da Ivo,Restaurant,Ristorante Da Ivo
restaurant_Ristorante Acqua Pazza,Restaurant,Ristorante Acqua Pazza
restaurant_Osteria Enoteca San Marco,Restaurant,Osteria Enoteca San Marco
restaurant_Restaurant Terrazza Danieli,Restaurant,Restaurant Terrazza Danieli
restaurant_Da Giacomo,Restaurant,Da Giacomo
restaurant_Il Salumaio di Montenapoleone,Restaurant,Il Salumaio di Montenapoleone
restaurant_Solferino Restaurant,Restaurant,Solferino Restaurant
hotel_Hotel Ai Cavalieri,Hotel,Hotel Ai Cavalieri
trip_MALDİVLER TURU 08 – 15 OCAK 2024_NA_4,Trip,MALDİVLER TURU 08 – 15 OCAK 2024
country_Maldivler,Country,Maldivler
price_47800 / 47600 / 34900 USD (oda tipine göre),Price,47800 / 47600 / 34900 USD (oda tipine göre)
city_Maldivler,City,Maldivler
hotel_Beach Villa with Pool,Hotel,Beach Villa with Pool
hotel_Water Villa with Pool,Hotel,Water Villa with Pool
hotel_Water Villa One Bedroom,Hotel,Water Villa One Bedroom
trip_TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024_NA_5,Trip,TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024
country_Tanzanya,Country,Tanzanya
city_Arusha,City,Arusha
city_Serengeti,City,Serengeti
city_Zanzibar,City,Zanzibar
hotel_Singita Lodge,Hotel,Singita Lodge
hotel_Singita Sasakawa Lodge,Hotel,Singita Sasakawa Lodge
activity_Serengeti Ulusal Parkı Safari,Activity,Serengeti Ulusal Parkı Safari
activity_Öğle Safarisi,Activity,Öğle Safarisi
activity_Sabah ve Akşam Safarileri,Activity,Sabah ve Akşam Safarileri
trip_BARCELONA TURU 09 – 11 KASIM_NA_6,Trip,BARCELONA TURU 09 – 11 KASIM
country_İspanya,Country,İspanya
city_Barcelona,City,Barcelona
restaurant_La Pepita Tapas Bar,Restaurant,La Pepita Tapas Bar
restaurant_Gala Restoran,Restaurant,Gala Restoran
restaurant_Barceloneta Restoran,Restaurant,Barceloneta Restoran
activity_Park Güell,Activity,Park Güell
activity_La Sagrada Familia,Activity,La Sagrada Familia
activity_Casa Milà,Activity,Casa Milà
activity_Plaza Catalunya,Activity,Plaza Catalunya
activity_Gotik Mahallesi,Activity,Gotik Mahallesi
trip_BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL_NA_7,Trip,BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL
country_Fransa,Country,Fransa
city_Bilbao,City,Bilbao
city_San Sebastian,City,San Sebastian
city_Biarritz,City,Biarritz
city_Saint Jean De Luz,City,Saint Jean De Luz
restaurant_Restaurante Ilura,Restaurant,Restaurante Ilura
restaurant_Elkano Restaurant,Restaurant,Elkano Restaurant
restaurant_Cafe Iruña,Restaurant,Cafe Iruña
hotel_Hotel Maria Cristina,Hotel,Hotel Maria Cristina
activity_Biarritz Gezisi,Activity,Biarritz Gezisi
activity_Saint Jean De Luz Gezisi,Activity,Saint Jean De Luz Gezisi
activity_San Sebastian Şehir Gezisi,Activity,San Sebastian Şehir Gezisi
activity_Guggenheim Müzesi Gezisi,Activity,Guggenheim Müzesi Gezisi
trip_AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK_NA_8,Trip,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK
country_Avustralya,Country,Avustralya
country_Yeni Zelanda,Country,Yeni Zelanda
country_Singapur,Country,Singapur
city_Singapore,City,Singapore
city_Auckland,City,Auckland
city_Rotorua,City,Rotorua
city_Wellington,City,Wellington
city_Tekapo,City,Tekapo
city_Queenstown,City,Queenstown
city_Gold Coast,City,Gold Coast
city_Sydney,City,Sydney
hotel_JW Marriott Hotel Singapore South Beach,Hotel,JW Marriott Hotel Singapore South Beach
hotel_Pullman Rotorua,Hotel,Pullman Rotorua
hotel_Intercontinental Hotel Wellington,Hotel,Intercontinental Hotel Wellington
hotel_Peppers Blue Water Resort Lake Tekapo,Hotel,Peppers Blue Water Resort Lake Tekapo
hotel_The Rees Hotel & Luxury Apartments,Hotel,The Rees Hotel & Luxury Apartments
hotel_JW Marriott Gold Coast Resort & Spa,Hotel,JW Marriott Gold Coast Resort & Spa
hotel_Sydney Harbour Marriott Hotel at Circular Quay,Hotel,Sydney Harbour Marriott Hotel at Circular Quay
activity_Auckland Şehir Gezisi,Activity,Auckland Şehir Gezisi
activity_Te Puia Maori Dansı ve Gayzerler,Activity,Te Puia Maori Dansı ve Gayzerler
activity_Weta Workshop,Activity,Weta Workshop
activity_Queenstown Panoramik Gezisi,Activity,Queenstown Panoramik Gezisi
activity_Seal Bay Conservation Park,Activity,Seal Bay Conservation Park
activity_Flinders Chase National Park,Activity,Flinders Chase National Park
activity_Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,Activity,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi
activity_Blue Mountains Gezisi,Activity,Blue Mountains Gezisi
activity_Sydney Opera Binası & Harbour Bridge,Activity,Sydney Opera Binası & Harbour Bridge
trip_BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS_NA_9,Trip,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS
country_Endonezya,Country,Endonezya
country_Tayland,Country,Tayland
city_Bali,City,Bali
city_Bangkok,City,Bangkok
restaurant_Koral Restaurant,Restaurant,Koral Restaurant
restaurant_Restaurant POTONG,Restaurant,Restaurant POTONG
hotel_Capella Bangkok Hotel,Hotel,Capella Bangkok Hotel
hotel_Riverside Pool Villa,Hotel,Riverside Pool Villa
activity_Volcanoes & Temples Turu (Helikopter),Activity,Volcanoes & Temples Turu (Helikopter)
trip_DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025_NA_10,Trip,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025
country_Danimarka,Country,Danimarka
country_Norveç,Country,Norveç
city_Kopenhag,City,Kopenhag
city_Bergen,City,Bergen
city_Flåm,City,Flåm
city_Oslo,City,Oslo
restaurant_Fjellskål Seafood Restaurant,Restaurant,Fjellskål Seafood Restaurant
restaurant_Restaurant Arven,Restaurant,Restaurant Arven
restaurant_Lofoten Fiskerestaurant,Restaurant,Lofoten Fiskerestaurant
restaurant_Bryggen Tracteursted,Restaurant,Bryggen Tracteursted
restaurant_Izakaya Bar & Terrace,Restaurant,Izakaya Bar & Terrace
hotel_Nimb Hotel,Hotel,Nimb Hotel
hotel_Bergen Børs Hotel,Hotel,Bergen Børs Hotel
hotel_Fretheim Hotel,Hotel,Fretheim Hotel
activity_Designmuseum Danmark,Activity,Designmuseum Danmark
activity_Bergen Market Square & Balık Pazarı,Activity,Bergen Market Square & Balık Pazarı
activity_Flåm Railway Museum,Activity,Flåm Railway Museum
activity_Vigeland Heykel Parkı,Activity,Vigeland Heykel Parkı
activity_Oslo Opera Binası,Activity,Oslo Opera Binası
activity_Ulusal Müze,Activity,Ulusal Müze
activity_Munch Müzesi,Activity,Munch Müzesi
activity_Astrup Fearnley Museum of Modern Art,Activity,Astrup Fearnley Museum of Modern Art
trip_GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026_NA_11,Trip,GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026
country_Zambiya,Country,Zambiya
city_Livingstone,City,Livingstone
restaurant_The Lookout Cafe,Restaurant,The Lookout Cafe
hotel_Royal Livingstone Victoria Falls Zambia Hotel by Anantara,Hotel,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
hotel_Babylonstoren Hotel,Hotel,Babylonstoren Hotel
hotel_Marataba Safari Lodge,Hotel,Marataba Safari Lodge
activity_Mukuni Village Gezisi,Activity,Mukuni Village Gezisi
activity_Sunset Safari Cruise,Activity,Sunset Safari Cruise
activity_David Livingstone Müzesi,Activity,David Livingstone Müzesi
activity_Franschhoek Şarap Bağları ve Galeriler,Activity,Franschhoek Şarap Bağları ve Galeriler
activity_Huguenot Anıt Müzesi,Activity,Huguenot Anıt Müzesi
activity_Franschhoek Motor Müzesi,Activity,Franschhoek Motor Müzesi
activity_Güney Afrika'nın İlk Parfüm Müzesi,Activity,Güney Afrika'nın İlk Parfüm Müzesi
activity_Masa Dağı,Activity,Masa Dağı
activity_Kirstenbosch Ulusal Botanik Bahçesi,Activity,Kirstenbosch Ulusal Botanik Bahçesi
activity_Boulders Beach Penguen Kolonisi,Activity,Boulders Beach Penguen Kolonisi
activity_Cape Town Şehir Gezisi,Activity,Cape Town Şehir Gezisi
activity_Two Oceans Aquarium,Activity,Two Oceans Aquarium
activity_Camps Bay ve Clifton Beach,Activity,Camps Bay ve Clifton Beach
activity_Zeitz Museum of Contemporary Art Africa,Activity,Zeitz Museum of Contemporary Art Africa
activity_Güney Afrika Ulusal Müzesi (İziko),Activity,Güney Afrika Ulusal Müzesi (İziko)
activity_Planetarium,Activity,Planetarium
activity_Cape Town Graffiti Street Art Turu,Activity,Cape Town Graffiti Street Art Turu
trip_JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025_NA_12,Trip,JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025
country_Japonya,Country,Japonya
city_Tokyo,City,Tokyo
city_Okayama,City,Okayama
city_Kyoto,City,Kyoto
city_Naoshima,City,Naoshima
city_Teshima,City,Teshima
hotel_Mitsui Garden Hotel Premier Jingu-Gaien,Hotel,Mitsui Garden Hotel Premier Jingu-Gaien
hotel_Uno Hotel,Hotel,Uno Hotel
hotel_ACE Hotel Kyoto,Hotel,ACE Hotel Kyoto
activity_Meiji Tapınağı,Activity,Meiji Tapınağı
activity_Ota Memorial Museum of Art,Activity,Ota Memorial Museum of Art
activity_Doğu Bahçeler,Activity,Doğu Bahçeler
activity_Shibuya Sky,Activity,Shibuya Sky
activity_Miyashita Park,Activity,Miyashita Park
activity_Mori Art Museum,Activity,Mori Art Museum
activity_National Art Centre,Activity,National Art Centre
activity_Museum of Contemporary Art,Activity,Museum of Contemporary Art
activity_Chichu Sanat Müzesi,Activity,Chichu Sanat Müzesi
activity_Art House Project,Activity,Art House Project
activity_Lee Ufan Müzesi,Activity,Lee Ufan Müzesi
activity_Benesse House,Activity,Benesse House
activity_Teshima Sanat Müzesi,Activity,Teshima Sanat Müzesi
activity_Les Archives du Coeur,Activity,Les Archives du Coeur
trip_LAPLAND TURU 19 – 24 OCAK_NA_13,Trip,LAPLAND TURU 19 – 24 OCAK
country_İsveç,Country,İsveç
city_Jukkasjärvi,City,Jukkasjärvi
city_Harads,City,Harads
hotel_ICEHOTEL,Hotel,ICEHOTEL
hotel_Kaamos Hotel,Hotel,Kaamos Hotel
hotel_Treehotel,Hotel,Treehotel
activity_Gece Safarisi,Activity,Gece Safarisi
activity_Kar Mobili Safarisi,Activity,Kar Mobili Safarisi
trip_MISIR TURU 20 – 25 NİSAN 2024_NA_14,Trip,MISIR TURU 20 – 25 NİSAN 2024
country_Mısır,Country,Mısır
city_Kahire,City,Kahire
city_Aswan,City,Aswan
city_Luxor,City,Luxor
hotel_Marriott Mena House Hotel,Hotel,Marriott Mena House Hotel
hotel_Movenpick Sunray Nile Cruise,Hotel,Movenpick Sunray Nile Cruise
activity_Giza Piramitleri,Activity,Giza Piramitleri
activity_Büyük Giza Sfenksi,Activity,Büyük Giza Sfenksi
activity_Mısır Müzesi,Activity,Mısır Müzesi
activity_Khan El Khalili Çarşısı,Activity,Khan El Khalili Çarşısı
activity_High Dam,Activity,High Dam
activity_Philae Tapınağı,Activity,Philae Tapınağı
activity_Kom Ombo Tapınağı,Activity,Kom Ombo Tapınağı
activity_Edfu Tapınağı,Activity,Edfu Tapınağı
activity_Luxor East Bank Gezisi,Activity,Luxor East Bank Gezisi
activity_Karnak Tapınağı,Activity,Karnak Tapınağı
activity_Luxor Tapınağı,Activity,Luxor Tapınağı
activity_Nil Nehri Sıcak Hava Balonu,Activity,Nil Nehri Sıcak Hava Balonu
trip_AMALFI TURU 20 – 23 HAZİRAN_NA_15,Trip,AMALFI TURU 20 – 23 HAZİRAN
city_Amalfi,City,Amalfi
city_Ravello,City,Ravello
city_Pompei,City,Pompei
city_Napoli,City,Napoli
city_Sorrento,City,Sorrento
hotel_Villa Piedimonte,Hotel,Villa Piedimonte
hotel_Hotel Rufolo,Hotel,Hotel Rufolo
activity_Ravello - Villa Cimbrone Bahçesi,Activity,Ravello - Villa Cimbrone Bahçesi
activity_Ravello - Villa Rufolo,Activity,Ravello - Villa Rufolo
activity_Pompei Şehri Ziyareti,Activity,Pompei Şehri Ziyareti
activity_Napoli Şehri Gezisi,Activity,Napoli Şehri Gezisi
activity_Duomo di Napoli,Activity,Duomo di Napoli
activity_Il Pio Monte della Misericordia,Activity,Il Pio Monte della Misericordia
activity_Palazzo Reale,Activity,Palazzo Reale
activity_Castel dell’Ovo,Activity,Castel dell’Ovo
activity_Amalfi Kasabası Gezisi,Activity,Amalfi Kasabası Gezisi
activity_Cattedrale di Sant’Andrea,Activity,Cattedrale di Sant’Andrea
activity_Piazza Duomo,Activity,Piazza Duomo
activity_Piazza dei Dogi,Activity,Piazza dei Dogi
activity_Piazza dello Spirito Santo,Activity,Piazza dello Spirito Santo
activity_Sorrento Gezisi,Activity,Sorrento Gezisi
activity_Piazza Tasso,Activity,Piazza Tasso
activity_Basilica di Sant’Antonino,Activity,Basilica di Sant’Antonino
activity_Sedile Dominova,Activity,Sedile Dominova
activity_Sorrento Peninsula Arkeoloji Müzesi,Activity,Sorrento Peninsula Arkeoloji Müzesi
activity_Bottega Della Tarsia Lignea Müzesi,Activity,Bottega Della Tarsia Lignea Müzesi
trip_LOIRE TURU 20 – 23 NİSAN_NA_16,Trip,LOIRE TURU 20 – 23 NİSAN
city_Loire,City,Loire
city_Tours,City,Tours
city_Amboise,City,Amboise
city_Blois,City,Blois
restaurant_Avarum Restaurant,Restaurant,Avarum Restaurant
restaurant_Restaurante Amour Blanc,Restaurant,Restaurante Amour Blanc
activity_Cheverny Şatosu,Activity,Cheverny Şatosu
activity_Villandry Şatosu,Activity,Villandry Şatosu
activity_Amboise Şatosu,Activity,Amboise Şatosu
activity_Château du Clos Lucé,Activity,Château du Clos Lucé
activity_Château de Chenonceau,Activity,Château de Chenonceau
activity_Château de Blois,Activity,Château de Blois
activity_Château de Chambord,Activity,Château de Chambord
activity_Loire Vadisi Balon Turu,Activity,Loire Vadisi Balon Turu
activity_Tours Şehri Gezisi,Activity,Tours Şehri Gezisi
trip_BRUGGE & LOIRE TURU 20 – 23 NİSAN_NA_17,Trip,BRUGGE & LOIRE TURU 20 – 23 NİSAN
country_Belçika,Country,Belçika
city_Brugge,City,Brugge
city_Gent,City,Gent
hotel_Hotel De Orangerie,Hotel,Hotel De Orangerie
hotel_Hotel Van Cleef,Hotel,Hotel Van Cleef
hotel_Hotel Heritage Relais Chateau,Hotel,Hotel Heritage Relais Chateau
hotel_Hotel Dukes' Palace,Hotel,Hotel Dukes' Palace
activity_Brugge Gezisi,Activity,Brugge Gezisi
activity_Gent Gezisi,Activity,Gent Gezisi
activity_Clos de Lucé,Activity,Clos de Lucé
activity_Loire Vadisi Şarap Bağları,Activity,Loire Vadisi Şarap Bağları
trip_AMALFI TURU 20 – 24 HAZİRAN_NA_18,Trip,AMALFI TURU 20 – 24 HAZİRAN
activity_Tam Gün Tekne Gezisi,Activity,Tam Gün Tekne Gezisi
trip_SALZBURG TURU 20 – 25 ARALIK_NA_19,Trip,SALZBURG TURU 20 – 25 ARALIK
country_Avusturya,Country,Avusturya
country_Almanya,Country,Almanya
city_Salzburg,City,Salzburg
city_Hallstatt,City,Hallstatt
city_St Wolfgang,City,St Wolfgang
city_Berchtesgaden,City,Berchtesgaden
restaurant_Cafe Sacher Salzburg,Restaurant,Cafe Sacher Salzburg
restaurant_Restaurant Blaue Gans Salzburg Gasthaus,Restaurant,Restaurant Blaue Gans Salzburg Gasthaus
hotel_Radisson Blu Hotel Altstadt,Hotel,Radisson Blu Hotel Altstadt
hotel_Hotel Goldener Hirsch,Hotel,Hotel Goldener Hirsch
hotel_Hotel Bristol,Hotel,Hotel Bristol
activity_Mirabel Sarayı ve Bahçesi,Activity,Mirabel Sarayı ve Bahçesi
activity_Mozart’ın Evi,Activity,Mozart’ın Evi
activity_Residenzplatz & DomQuartier,Activity,Residenzplatz & DomQuartier
activity_Noel Pazarları,Activity,Noel Pazarları
activity_Hallstatt Gezisi,Activity,Hallstatt Gezisi
activity_Salzberg Dağı & Tuz Madeni Ziyareti,Activity,Salzberg Dağı & Tuz Madeni Ziyareti
activity_Atlı Kızak Turu (St Wolfgang),Activity,Atlı Kızak Turu (St Wolfgang)
activity_Salzburg Kalesi,Activity,Salzburg Kalesi
activity_Adolf Hitler’in Kartal Yuvası,Activity,Adolf Hitler’in Kartal Yuvası
activity_Salzbergwerk Berchtesgaden,Activity,Salzbergwerk Berchtesgaden
activity_Grassl Likör Fabrikası,Activity,Grassl Likör Fabrikası
trip_BELGRAD TURU 21 – 23 EYLÜL_NA_20,Trip,BELGRAD TURU 21 – 23 EYLÜL
country_Sırbistan,Country,Sırbistan
city_Belgrad,City,Belgrad
city_Karlofca,City,Karlofca
city_Novi Sad,City,Novi Sad
restaurant_Kalemegdan Restaurant,Restaurant,Kalemegdan Restaurant
hotel_Metropol Palace Hotel,Hotel,Metropol Palace Hotel
hotel_Square Nine Hotel,Hotel,Square Nine Hotel
activity_Belgrad Şehir Gezisi,Activity,Belgrad Şehir Gezisi
activity_Aziz Sava Kilisesi,Activity,Aziz Sava Kilisesi
activity_Kalemegdan,Activity,Kalemegdan
activity_Sokullu Mehmet Paşa Çeşmesi,Activity,Sokullu Mehmet Paşa Çeşmesi
activity_Damat Ali Paşa Türbesi,Activity,Damat Ali Paşa Türbesi
activity_Fikirbayır,Activity,Fikirbayır
activity_Stambol Kapısı,Activity,Stambol Kapısı
activity_Tuna & Sava Nehirlerinin Birleşim Noktası,Activity,Tuna & Sava Nehirlerinin Birleşim Noktası
activity_Museum of Yugoslav History,Activity,Museum of Yugoslav History
activity_Royal Compound,Activity,Royal Compound
activity_Nikola Tesla Müzesi,Activity,Nikola Tesla Müzesi
activity_Karlofca Gezisi,Activity,Karlofca Gezisi
activity_Novi Sad Gezisi,Activity,Novi Sad Gezisi
activity_Tuna Nehri Tekne Gezisi,Activity,Tuna Nehri Tekne Gezisi
trip_İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023_NA_21,Trip,İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023
country_Türkiye,Country,Türkiye
city_İstanbul,City,İstanbul
city_Kapadokya,City,Kapadokya
city_Kuşadası,City,Kuşadası
city_İzmir,City,İzmir
city_Şirince,City,Şirince
city_Efes,City,Efes
restaurant_Il Cortile Ristorante Pizzeria,Restaurant,Il Cortile Ristorante Pizzeria
restaurant_Pandeli Restaurant,Restaurant,Pandeli Restaurant
restaurant_Belisirma Nehir Kenarı Restoran,Restaurant,Belisirma Nehir Kenarı Restoran
restaurant_Geleneksel Türk Restoranı (Efes),Restaurant,Geleneksel Türk Restoranı (Efes)
activity_Topkapı Sarayı,Activity,Topkapı Sarayı
activity_Ayasofya,Activity,Ayasofya
activity_Yerebatan Sarnıcı,Activity,Yerebatan Sarnıcı
activity_Boğaz Turu,Activity,Boğaz Turu
activity_Karaköy,Activity,Karaköy
activity_Balon Turu,Activity,Balon Turu
activity_Soğanlı Vadisi,Activity,Soğanlı Vadisi
activity_Keşlik Manastırı,Activity,Keşlik Manastırı
activity_Taşkınpaşa Medresesi,Activity,Taşkınpaşa Medresesi
activity_Selime Köyü,Activity,Selime Köyü
activity_Agzikarahan Kervansarayı,Activity,Agzikarahan Kervansarayı
activity_Ihlara Vadisi,Activity,Ihlara Vadisi
activity_Göreme Açık Hava Müzesi,Activity,Göreme Açık Hava Müzesi
activity_Uçhisar,Activity,Uçhisar
activity_Kaymaklı Yeraltı Şehri,Activity,Kaymaklı Yeraltı Şehri
activity_Kızıl Vadi,Activity,Kızıl Vadi
activity_Efes Antik Kenti,Activity,Efes Antik Kenti
activity_Hadrian Tapınağı,Activity,Hadrian Tapınağı
activity_Odeon,Activity,Odeon
activity_Traian Çeşmesi,Activity,Traian Çeşmesi
activity_Şirince Köyü,Activity,Şirince Köyü
trip_EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS_NA_22,Trip,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS
country_İskoçya,Country,İskoçya
city_Edinburgh,City,Edinburgh
city_Pitlochry,City,Pitlochry
city_Fort William,City,Fort William
city_Inverness,City,Inverness
restaurant_Nevis Bank Inn and Browns Restaurant,Restaurant,Nevis Bank Inn and Browns Restaurant
restaurant_Rocpool Restaurant,Restaurant,Rocpool Restaurant
hotel_Fonab Castle Hotel,Hotel,Fonab Castle Hotel
hotel_The Craigellachie Hotel,Hotel,The Craigellachie Hotel
hotel_Nevis Bank Inn,Hotel,Nevis Bank Inn
hotel_Seasgair Hotel,Hotel,Seasgair Hotel
activity_Blair Castle,Activity,Blair Castle
activity_Ballindalloch Castle & Gardens,Activity,Ballindalloch Castle & Gardens
activity_Camera Obscura & World of Illusions,Activity,Camera Obscura & World of Illusions
activity_Loch Ness,Activity,Loch Ness
activity_Inverness Kalesi,Activity,Inverness Kalesi
activity_St. Andrews Katedrali,Activity,St. Andrews Katedrali
activity_Inverness Müzesi ve Sanat Galerisi,Activity,Inverness Müzesi ve Sanat Galerisi
activity_Strathisla Distillery,Activity,Strathisla Distillery
trip_TAYLAND TURU 5 – 18 ŞUBAT_NA_23,Trip,TAYLAND TURU 5 – 18 ŞUBAT
city_Chiang Mai,City,Chiang Mai
city_Chiang Rai,City,Chiang Rai
restaurant_Beach Restaurant (The Surin),Restaurant,Beach Restaurant (The Surin)
restaurant_Potong Restaurant,Restaurant,Potong Restaurant
restaurant_Clara Restaurant,Restaurant,Clara Restaurant
restaurant_Kalido,Restaurant,Kalido
restaurant_Carpe Diem Beach Club,Restaurant,Carpe Diem Beach Club
restaurant_Terrace Rim Naam,Restaurant,Terrace Rim Naam
hotel_The Surin,Hotel,The Surin
activity_Tapınaklar ve Şehir Gezisi,Activity,Tapınaklar ve Şehir Gezisi
activity_Bo Sang Köyü,Activity,Bo Sang Köyü
activity_Wat Chedi Luangis,Activity,Wat Chedi Luangis
activity_Wat Suan Dok Tapınağı,Activity,Wat Suan Dok Tapınağı
activity_Wat Phra That Doi Suthep,Activity,Wat Phra That Doi Suthep
activity_Wat Rong Khun,Activity,Wat Rong Khun
activity_Chiang Rai Gezisi,Activity,Chiang Rai Gezisi
activity_Golden Triangle Gezisi,Activity,Golden Triangle Gezisi
activity_Mekong Nehri Tekne Gezisi,Activity,Mekong Nehri Tekne Gezisi
activity_Bangkok Şehir Gezisi,Activity,Bangkok Şehir Gezisi
activity_Büyük Saray,Activity,Büyük Saray
activity_Wat Phra Kaew,Activity,Wat Phra Kaew
activity_Wat Pho Tapınağı,Activity,Wat Pho Tapınağı
activity_Wat Ratchabophit,Activity,Wat Ratchabophit
activity_Bangkok Kanalları Gezisi,Activity,Bangkok Kanalları Gezisi
activity_Chatuchak Weekend Market,Activity,Chatuchak Weekend Market
trip_JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE)_NA_24,Trip,JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE)
city_Hakone,City,Hakone
city_Nara,City,Nara
hotel_Mitsui Garden Hotel,Hotel,Mitsui Garden Hotel
hotel_Benesse House,Hotel,Benesse House
activity_Shinjuku Gyoen Park,Activity,Shinjuku Gyoen Park
