,start,end,type
43,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Wellington,HAS_CITY
44,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Yeni Zelanda,HAS_COUNTRY
45,Abu Dhabi,"Address Dubai Mall, Dubai",HAS_HOTEL
46,Abu Dhabi,Dubai Autodrome Circuit,HAS_ACTIVITY
47,Abu Dhabi,Estiatorio Milos Dubai,HAS_RESTAURANT
48,Abu Dhabi,Ferrari World Abu Dhabi – Driving Experience,HAS_ACTIVITY
49,Abu Dhabi,Hakkasan Abu Dhabi,HAS_RESTAURANT
50,Abu Dhabi,La Cantine Beach,HAS_RESTAURANT
51,Abu Dhabi,"Louvre Museum, Abu Dhabi",HAS_ACTIVITY
52,Abu Dhabi,New Year's Eve Celebration - The Restaurant at Address Dubai Mall,HAS_ACTIVITY
53,Abu Dhabi,Sunset Electric Dragon Boat Experience - Jubail Mangrove Park,HAS_ACTIVITY
54,Abu Dhabi,The Guild Dubai,HAS_RESTAURANT
55,Abu Dhabi,The MAINE Oyster Bar & Grill JBR,HAS_RESTAURANT
56,Abu Dhabi,The Restaurant at Address Dubai Mall,HAS_RESTAURANT
57,Abu Dhabi,The Ritz Carlton Ras Al Khaimah,HAS_HOTEL
58,Abu Dhabi,"The St. Regis Saadiyat Island Resort, Abu Dhabi",HAS_HOTEL
59,Abu Dhabi,Ula Beach RAK,HAS_RESTAURANT
60,Abu Dhabi,WHITE Beach Dubai,HAS_RESTAURANT
61,Abu Dhabi,Çöl Safarisi,HAS_ACTIVITY
62,Abu Dhabi,Çölde Akşam Yemeği,HAS_ACTIVITY
63,Adelaide,Alman Kasabası Hahndorf,HAS_ACTIVITY
64,Adelaide,Anayasa Limanı - Hobart,HAS_ACTIVITY
65,Adelaide,Anzac-Atatürk Anıtı,HAS_ACTIVITY
66,Adelaide,Ateş Böceği Mağarası,HAS_ACTIVITY
67,Adelaide,Barossa Valley Şarap Bağları,HAS_ACTIVITY
68,Adelaide,Brisbane Şehir Turu,HAS_ACTIVITY
69,Adelaide,Canberra Şehir Turu,HAS_ACTIVITY
70,Adelaide,Darling Harbour,HAS_ACTIVITY
71,Adelaide,Fitzroy Gardens & Captain Cook’un Evi,HAS_ACTIVITY
72,Adelaide,Franklin Meydanı - Hobart,HAS_ACTIVITY
73,Adelaide,Hyde Park Barracks - Sydney,HAS_ACTIVITY
74,Adelaide,Melbourne Müzesi,HAS_ACTIVITY
75,Adelaide,Mount Wellington,HAS_ACTIVITY
76,Adelaide,Mrs Macquarie’s Chair,HAS_ACTIVITY
77,Adelaide,Nehir Kenarı Restoran - Adelaide,HAS_RESTAURANT
78,Adelaide,Parlamento ve Hazine Binası - Melbourne,HAS_ACTIVITY
79,Adelaide,Royal Exhibition Binası - Melbourne,HAS_ACTIVITY
80,Adelaide,Sanat Galerisi - Melbourne,HAS_ACTIVITY
81,Adelaide,Sullivan’s Cove,HAS_ACTIVITY
82,Adelaide,Surfers Paradise - Gold Coast,HAS_ACTIVITY
83,Adelaide,Sydney Harbour Bridge,HAS_ACTIVITY
84,Adelaide,Sydney Opera House,HAS_ACTIVITY
85,Adelaide,"The Tasman, a Luxury Collection Hotel, Hobart",HAS_HOTEL
86,Adelaide,Ulusal Müze - Sydney,HAS_ACTIVITY
87,Adelaide,Yerel Lüks Restoran - Adelaide,HAS_RESTAURANT
88,Aix-en-Provence,Arles Luma Müzesi ziyareti,HAS_ACTIVITY
89,Aix-en-Provence,Arles şehir gezisi,HAS_ACTIVITY
90,Aix-en-Provence,Atelier de Cezanne ziyareti,HAS_ACTIVITY
91,Aix-en-Provence,Carrières de Lumières ziyareti,HAS_ACTIVITY
92,Aix-en-Provence,Château La Coste,HAS_RESTAURANT
93,Aix-en-Provence,Château La Coste sanat ve mimari gezisi,HAS_ACTIVITY
94,Aix-en-Provence,Château La Coste şarap evi ve bahçeleri ziyareti,HAS_ACTIVITY
95,Aix-en-Provence,Fondation Vincent van Gogh Arles ziyareti,HAS_ACTIVITY
96,Aix-en-Provence,La Luma Drum Cafe,HAS_RESTAURANT
97,Aix-en-Provence,Les Deux Garçons,HAS_RESTAURANT
98,Aix-en-Provence,Les Deux Garçons’da kahve molası,HAS_ACTIVITY
99,Aix-en-Provence,Mirabeau Caddesi’nde gezinti,HAS_ACTIVITY
100,Aix-en-Provence,Mucem Müzesi ziyareti,HAS_ACTIVITY
101,Aix-en-Provence,Palais des Papes ziyareti,HAS_ACTIVITY
102,Aix-en-Provence,Roussillon ve Gordes gezisi,HAS_ACTIVITY
103,Aix-en-Provence,Saint-Paul de Mausole ziyareti,HAS_ACTIVITY
104,Alberobello,Alberobello Trulli Evleri,HAS_ACTIVITY
105,Alberobello,Antik Roma Amfitiyatrosu,HAS_ACTIVITY
106,Alberobello,Bari Şehir Gezisi,HAS_ACTIVITY
107,Alberobello,Canne Bianche Lifestyle & Hotel,HAS_HOTEL
108,Alberobello,Domenico Modugno Heykeli - Polignano a Mare,HAS_ACTIVITY
109,Alberobello,Hohenstaufen Kalesi,HAS_ACTIVITY
110,Alberobello,Lecce Şehir Gezisi,HAS_ACTIVITY
111,Alberobello,Locorotondo Şehir Gezisi,HAS_ACTIVITY
112,Alberobello,Matera Gezisi,HAS_ACTIVITY
113,Alberobello,Matera Kaya Evleri,HAS_ACTIVITY
114,Alberobello,Matera Kiliseleri ve Mağaraları,HAS_ACTIVITY
115,Alberobello,Monopoli Gezisi,HAS_ACTIVITY
116,Alberobello,Monopoli Tarihi Merkezi,HAS_ACTIVITY
117,Alberobello,Napoli Tarihi Merkezi,HAS_ACTIVITY
118,Alberobello,Old Town,HAS_ACTIVITY
119,Alberobello,Palazzo dei Celestini,HAS_ACTIVITY
120,Alberobello,Palazzo dei Celestini - Lecce,HAS_ACTIVITY
121,Alberobello,Pizzeria Casa Pinto,HAS_RESTAURANT
122,Alberobello,Polignano a Mare,HAS_ACTIVITY
123,Alberobello,Polignano a Mare Gezisi,HAS_ACTIVITY
124,Alberobello,Pompei Antik Kenti,HAS_ACTIVITY
125,Alberobello,Ristorante Blunotte,HAS_RESTAURANT
126,Alberobello,Ristorante La Cantina,HAS_RESTAURANT
127,Alberobello,Roma Amfi Tiyatrosu - Lecce,HAS_ACTIVITY
128,Alberobello,Saint Nicholas Bazilikası,HAS_ACTIVITY
129,Alberobello,San Giuseppe Kilisesi,HAS_ACTIVITY
130,Alberobello,San Giuseppe Kilisesi - Lecce,HAS_ACTIVITY
131,Alberobello,San Sabino Katedrali,HAS_ACTIVITY
132,Alberobello,Sant'Oronzo Meydanı,HAS_ACTIVITY
133,Alberobello,Santa Croce Bazilikası,HAS_ACTIVITY
134,Alberobello,Santa Croce Bazilikası - Lecce,HAS_ACTIVITY
135,Alberobello,Sant’Oronzo Meydanı - Lecce,HAS_ACTIVITY
136,Alberobello,Strada delle Orecchiette,HAS_ACTIVITY
137,Alberobello,Trulli Evleri - Alberobello,HAS_ACTIVITY
138,Alberobello,Vezüv Yanardağı,HAS_ACTIVITY
139,Alegra Benardete ile Sicilya’da Nefes,Arkeoloji,HAS_HIGHLIGHT
140,Alegra Benardete ile Sicilya’da Nefes,Barok,HAS_HIGHLIGHT
141,Alegra Benardete ile Sicilya’da Nefes,Noto,HAS_CITY
142,Alegra Benardete ile Sicilya’da Nefes,Noto,HAS_HIGHLIGHT
143,Alegra Benardete ile Sicilya’da Nefes,Ortigia,HAS_CITY
144,Alegra Benardete ile Sicilya’da Nefes,Ortigia,HAS_HIGHLIGHT
145,Alegra Benardete ile Sicilya’da Nefes,Sicilya,HAS_HIGHLIGHT
146,Alegra Benardete ile Sicilya’da Nefes,Siracusa,HAS_CITY
147,Alegra Benardete ile Sicilya’da Nefes,Siracusa,HAS_HIGHLIGHT
148,Alegra Benardete ile Sicilya’da Nefes,Taormina,HAS_CITY
149,Alegra Benardete ile Sicilya’da Nefes,Taormina,HAS_HIGHLIGHT
150,Alegra Benardete ile Sicilya’da Nefes,İtalya,HAS_COUNTRY
151,Alegra Benardete ile Sicilya’da Nefes,İtalya,HAS_HIGHLIGHT
152,Amalfi,Amalfi Kasabası Gezisi,HAS_ACTIVITY
153,Amalfi,Basilica di Sant’Antonino,HAS_ACTIVITY
154,Amalfi,Bottega Della Tarsia Lignea Müzesi,HAS_ACTIVITY
155,Amalfi,Castel dell’Ovo,HAS_ACTIVITY
156,Amalfi,Cattedrale di Sant’Andrea,HAS_ACTIVITY
157,Amalfi,Duomo di Napoli,HAS_ACTIVITY
158,Amalfi,Hotel Rufolo,HAS_HOTEL
159,Amalfi,Il Pio Monte della Misericordia,HAS_ACTIVITY
160,Amalfi,Napoli Şehri Gezisi,HAS_ACTIVITY
161,Amalfi,Palazzo Reale,HAS_ACTIVITY
162,Amalfi,Piazza Duomo,HAS_ACTIVITY
163,Amalfi,Piazza Tasso,HAS_ACTIVITY
164,Amalfi,Piazza dei Dogi,HAS_ACTIVITY
165,Amalfi,Piazza dello Spirito Santo,HAS_ACTIVITY
166,Amalfi,Pompei Şehri Ziyareti,HAS_ACTIVITY
167,Amalfi,Ravello - Villa Cimbrone Bahçesi,HAS_ACTIVITY
168,Amalfi,Ravello - Villa Rufolo,HAS_ACTIVITY
169,Amalfi,Sedile Dominova,HAS_ACTIVITY
170,Amalfi,Sorrento Gezisi,HAS_ACTIVITY
171,Amalfi,Sorrento Peninsula Arkeoloji Müzesi,HAS_ACTIVITY
172,Amalfi,Tam Gün Tekne Gezisi,HAS_ACTIVITY
173,Amalfi,Villa Piedimonte,HAS_HOTEL
174,Amboise,Amboise Şatosu,HAS_ACTIVITY
175,Amboise,Avarum Restaurant,HAS_RESTAURANT
176,Amboise,Brugge Gezisi,HAS_ACTIVITY
177,Amboise,Cheverny Şatosu,HAS_ACTIVITY
178,Amboise,Château de Blois,HAS_ACTIVITY
179,Amboise,Château de Chambord,HAS_ACTIVITY
180,Amboise,Château de Chenonceau,HAS_ACTIVITY
181,Amboise,Château du Clos Lucé,HAS_ACTIVITY
182,Amboise,Clos de Lucé,HAS_ACTIVITY
183,Amboise,Gent Gezisi,HAS_ACTIVITY
184,Amboise,Hotel De Orangerie,HAS_HOTEL
185,Amboise,Hotel Dukes' Palace,HAS_HOTEL
186,Amboise,Hotel Heritage Relais Chateau,HAS_HOTEL
187,Amboise,Hotel Van Cleef,HAS_HOTEL
188,Amboise,Loire Vadisi Balon Turu,HAS_ACTIVITY
189,Amboise,Loire Vadisi Şarap Bağları,HAS_ACTIVITY
190,Amboise,Restaurante Amour Blanc,HAS_RESTAURANT
191,Amboise,Tours Şehri Gezisi,HAS_ACTIVITY
192,Amboise,Villandry Şatosu,HAS_ACTIVITY
193,Amman,Amman şehir turu,HAS_ACTIVITY
194,Amman,Dead Sea’de konaklama ve dinlenme,HAS_ACTIVITY
195,Amman,Mount Nebo ve Madaba ziyareti,HAS_ACTIVITY
196,Amman,Petra Antik Kenti gezisi,HAS_ACTIVITY
197,Amman,Wadi Rum çöl safarisi,HAS_ACTIVITY
198,Arjantin Gezisi,Arjantin,HAS_COUNTRY
199,Arjantin Gezisi,Arjantin,HAS_HIGHLIGHT
200,Arjantin Gezisi,Balina,HAS_HIGHLIGHT
201,Arjantin Gezisi,Buenos Aires,HAS_CITY
202,Arjantin Gezisi,Buenos Aires,HAS_HIGHLIGHT
203,Arjantin Gezisi,Doğa,HAS_HIGHLIGHT
204,Arjantin Gezisi,Puerto Madryn,HAS_CITY
205,Arjantin Gezisi,Puerto Madryn,HAS_HIGHLIGHT
206,Arjantin Gezisi,Tango,HAS_HIGHLIGHT
207,Arjantin Gezisi,Ushuaia,HAS_CITY
208,Arjantin Gezisi,Ushuaia,HAS_HIGHLIGHT
209,Arles,Arles Gezisi,HAS_ACTIVITY
210,Arles,Arles Luma Müzesi ziyareti,HAS_ACTIVITY
211,Arles,Arles şehir gezisi,HAS_ACTIVITY
212,Arles,Art Tour,HAS_ACTIVITY
213,Arles,Atelier de Cezanne ziyareti,HAS_ACTIVITY
214,Arles,Avignon Gezisi,HAS_ACTIVITY
215,Arles,Café Tadoa Ando,HAS_RESTAURANT
216,Arles,Carrières de Lumières ziyareti,HAS_ACTIVITY
217,Arles,Chateau Estoublon,HAS_ACTIVITY
218,Arles,Chateau La Coste Art Tour,HAS_ACTIVITY
219,Arles,Chateau d’Estoublon,HAS_RESTAURANT
220,Arles,Château La Coste,HAS_RESTAURANT
221,Arles,Château La Coste sanat ve mimari gezisi,HAS_ACTIVITY
222,Arles,Château La Coste şarap evi ve bahçeleri ziyareti,HAS_ACTIVITY
223,Arles,Fondation Vincent van Gogh Arles ziyareti,HAS_ACTIVITY
224,Arles,Gordes Gezisi,HAS_ACTIVITY
225,Arles,L'Isle-sur-la-Sorgue Gezisi,HAS_ACTIVITY
226,Arles,LUMA Müzesi,HAS_ACTIVITY
227,Arles,La Luma Drum Cafe,HAS_RESTAURANT
228,Arles,La Taula Gallici's Gourmet Restaurant,HAS_RESTAURANT
229,Arles,Les Baux-de-Provence Gezisi,HAS_ACTIVITY
230,Arles,Les Deux Garçons,HAS_RESTAURANT
231,Arles,Les Deux Garçons’da kahve molası,HAS_ACTIVITY
232,Arles,L’Isle-sur-la-Sorgue Gezisi,HAS_ACTIVITY
233,Arles,Mirabeau Caddesi’nde gezinti,HAS_ACTIVITY
234,Arles,Mucem Müzesi ziyareti,HAS_ACTIVITY
235,Arles,Palais des Papes ziyareti,HAS_ACTIVITY
236,Arles,Restaurant L'Oriel,HAS_RESTAURANT
237,Arles,Roussillon Gezisi,HAS_ACTIVITY
238,Arles,Roussillon ve Gordes gezisi,HAS_ACTIVITY
239,Arles,Saint-Paul de Mausole ziyareti,HAS_ACTIVITY
240,Arles,Saint-Rémy-de-Provence Gezisi,HAS_ACTIVITY
241,Arles,Tadao Ando Café Restaurant,HAS_RESTAURANT
242,Arles,Van Gogh Müzesi,HAS_ACTIVITY
243,Arusha,Sabah ve Akşam Safarileri,HAS_ACTIVITY
244,Arusha,Serengeti Ulusal Parkı Safari,HAS_ACTIVITY
245,Arusha,Singita Lodge,HAS_HOTEL
246,Arusha,Singita Sasakawa Lodge,HAS_HOTEL
247,Arusha,Öğle Safarisi,HAS_ACTIVITY
248,Aswan,Büyük Giza Sfenksi,HAS_ACTIVITY
249,Aswan,Edfu Tapınağı,HAS_ACTIVITY
250,Aswan,Giza Piramitleri,HAS_ACTIVITY
251,Aswan,High Dam,HAS_ACTIVITY
252,Aswan,Karnak Tapınağı,HAS_ACTIVITY
253,Aswan,Khan El Khalili Çarşısı,HAS_ACTIVITY
254,Aswan,Kom Ombo Tapınağı,HAS_ACTIVITY
255,Aswan,Luxor East Bank Gezisi,HAS_ACTIVITY
256,Aswan,Luxor Tapınağı,HAS_ACTIVITY
257,Aswan,Marriott Mena House Hotel,HAS_HOTEL
258,Aswan,Movenpick Sunray Nile Cruise,HAS_HOTEL
259,Aswan,Mısır Müzesi,HAS_ACTIVITY
260,Aswan,Nil Nehri Sıcak Hava Balonu,HAS_ACTIVITY
261,Aswan,Philae Tapınağı,HAS_ACTIVITY
262,Auckland,Auckland Şehir Gezisi,HAS_ACTIVITY
263,Auckland,Blue Mountains Gezisi,HAS_ACTIVITY
264,Auckland,Bondi Plajı,HAS_ACTIVITY
265,Auckland,Botanik Bahçeleri - Sydney,HAS_ACTIVITY
266,Auckland,Flinders Chase National Park,HAS_ACTIVITY
267,Auckland,Hyde Park,HAS_ACTIVITY
268,Auckland,Intercontinental Hotel Wellington,HAS_HOTEL
269,Auckland,JW Marriott Gold Coast Resort & Spa,HAS_HOTEL
270,Auckland,JW Marriott Hotel Singapore South Beach,HAS_HOTEL
271,Auckland,Macquarie Caddesi,HAS_ACTIVITY
272,Auckland,Mrs Macquarie’s Chair,HAS_ACTIVITY
273,Auckland,Oxford Caddesi,HAS_ACTIVITY
274,Auckland,Paddington,HAS_ACTIVITY
275,Auckland,Park Hyatt Sydney,HAS_HOTEL
276,Auckland,Peppers Blue Water Resort Lake Tekapo,HAS_HOTEL
277,Auckland,Pullman Rotorua,HAS_HOTEL
278,Auckland,Queenstown Panoramik Gezisi,HAS_ACTIVITY
279,Auckland,Seal Bay Conservation Park,HAS_ACTIVITY
280,Auckland,St. Mary Katedrali,HAS_ACTIVITY
281,Auckland,Sydney Harbour Marriott Hotel at Circular Quay,HAS_HOTEL
282,Auckland,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,HAS_ACTIVITY
283,Auckland,Sydney Köprüsü,HAS_ACTIVITY
284,Auckland,Sydney Opera Binası,HAS_ACTIVITY
285,Auckland,Sydney Opera Binası & Harbour Bridge,HAS_ACTIVITY
286,Auckland,Te Puia Maori Dansı ve Gayzerler,HAS_ACTIVITY
287,Auckland,The Rees Hotel & Luxury Apartments,HAS_HOTEL
288,Auckland,The Rocks,HAS_ACTIVITY
289,Auckland,Weta Workshop,HAS_ACTIVITY
290,Avignon,Arles Luma Müzesi ziyareti,HAS_ACTIVITY
291,Avignon,Art Tour,HAS_ACTIVITY
292,Avignon,Atelier de Cezanne ziyareti,HAS_ACTIVITY
293,Avignon,Avignon Gezisi,HAS_ACTIVITY
294,Avignon,Café Tadoa Ando,HAS_RESTAURANT
295,Avignon,Carrières de Lumières ziyareti,HAS_ACTIVITY
296,Avignon,Chateau Estoublon,HAS_ACTIVITY
297,Avignon,Château La Coste sanat ve mimari gezisi,HAS_ACTIVITY
298,Avignon,Fondation Vincent van Gogh Arles ziyareti,HAS_ACTIVITY
299,Avignon,L'Isle-sur-la-Sorgue Gezisi,HAS_ACTIVITY
300,Avignon,LUMA Müzesi,HAS_ACTIVITY
301,Avignon,La Luma Drum Cafe,HAS_RESTAURANT
302,Avignon,La Taula Gallici's Gourmet Restaurant,HAS_RESTAURANT
303,Avignon,Les Baux-de-Provence Gezisi,HAS_ACTIVITY
304,Avignon,Les Deux Garçons,HAS_RESTAURANT
305,Avignon,Les Deux Garçons’da kahve molası,HAS_ACTIVITY
306,Avignon,Mucem Müzesi ziyareti,HAS_ACTIVITY
307,Avignon,Palais des Papes ziyareti,HAS_ACTIVITY
308,Avignon,Restaurant L'Oriel,HAS_RESTAURANT
309,Avignon,Saint-Paul de Mausole ziyareti,HAS_ACTIVITY
310,Avignon,Van Gogh Müzesi,HAS_ACTIVITY
311,Avustralya Gezisi,Adelaide,HAS_CITY
312,Avustralya Gezisi,Adelaide - Brisbane İç Hat Uçuşu,HAS_TRANSPORT
313,Avustralya Gezisi,Avustralya,HAS_COUNTRY
314,Avustralya Gezisi,Avustralya,HAS_HIGHLIGHT
315,Avustralya Gezisi,Ballarat,HAS_CITY
316,Avustralya Gezisi,Barossa Valley,HAS_CITY
317,Avustralya Gezisi,Brisbane,HAS_CITY
318,Avustralya Gezisi,Canberra,HAS_CITY
319,Avustralya Gezisi,Gold Coast,HAS_HIGHLIGHT
320,Avustralya Gezisi,Hahndorf,HAS_CITY
321,Avustralya Gezisi,Hobart,HAS_CITY
322,Avustralya Gezisi,Hobart - Adelaide İç Hat Uçuşu,HAS_TRANSPORT
323,Avustralya Gezisi,Melbourne,HAS_CITY
324,Avustralya Gezisi,Melbourne,HAS_HIGHLIGHT
325,Avustralya Gezisi,Melbourne - Hobart İç Hat Uçuşu,HAS_TRANSPORT
326,Avustralya Gezisi,Opera House,HAS_HIGHLIGHT
327,Avustralya Gezisi,Surfers Paradise,HAS_CITY
328,Avustralya Gezisi,Sydney,HAS_CITY
329,Avustralya Gezisi,Sydney,HAS_HIGHLIGHT
330,Avustralya Gezisi,Tasmanya,HAS_HIGHLIGHT
331,Avustralya Gezisi,Türk Hava Yolları TK168,HAS_TRANSPORT
332,Avustralya Gezisi,Türk Hava Yolları TK169,HAS_TRANSPORT
333,Avustralya Gezisi,Şarap,HAS_HIGHLIGHT
334,Avustralya – Yeni Zelanda,Auckland,HAS_CITY
335,Avustralya – Yeni Zelanda,Avustralya,HAS_COUNTRY
336,Avustralya – Yeni Zelanda,Avustralya,HAS_HIGHLIGHT
337,Avustralya – Yeni Zelanda,Melbourne,HAS_CITY
338,Avustralya – Yeni Zelanda,Opera Binası,HAS_HIGHLIGHT
339,Avustralya – Yeni Zelanda,Plaj,HAS_HIGHLIGHT
340,Avustralya – Yeni Zelanda,Queenstown,HAS_CITY
341,Avustralya – Yeni Zelanda,Rotorua,HAS_CITY
342,Avustralya – Yeni Zelanda,Sydney,HAS_CITY
343,Avustralya – Yeni Zelanda,Sydney,HAS_HIGHLIGHT
344,Avustralya – Yeni Zelanda,Türk Hava Yolları TK174,HAS_TRANSPORT
345,Avustralya – Yeni Zelanda,Yeni Zelanda,HAS_COUNTRY
346,Avustralya – Yeni Zelanda,Yeni Zelanda,HAS_HIGHLIGHT
347,BAE Gezisi - Fuat Pamukçu,Abu Dhabi,HAS_CITY
348,BAE Gezisi - Fuat Pamukçu,Abu Dhabi,HAS_HIGHLIGHT
349,BAE Gezisi - Fuat Pamukçu,Abu Dhabi – Ras Al Khaimah transferi,HAS_TRANSPORT
350,BAE Gezisi - Fuat Pamukçu,BAE,HAS_HIGHLIGHT
351,BAE Gezisi - Fuat Pamukçu,Birleşik Arap Emirlikleri,HAS_COUNTRY
352,BAE Gezisi - Fuat Pamukçu,Dubai,HAS_CITY
353,BAE Gezisi - Fuat Pamukçu,Dubai,HAS_HIGHLIGHT
354,BAE Gezisi - Fuat Pamukçu,Ferrari World,HAS_HIGHLIGHT
355,BAE Gezisi - Fuat Pamukçu,Ras Al Khaimah,HAS_CITY
356,BAE Gezisi - Fuat Pamukçu,Ras Al Khaimah,HAS_HIGHLIGHT
357,BAE Gezisi - Fuat Pamukçu,Ras Al Khaimah – Dubai transferi,HAS_TRANSPORT
358,BAE Gezisi - Fuat Pamukçu,Yılbaşı,HAS_HIGHLIGHT
359,BAE Gezisi - Fuat Pamukçu,Çöl Safarisi,HAS_HIGHLIGHT
360,BAE Gezisi - Fuat Pamukçu,İstanbul – Abu Dhabi uçuşu,HAS_TRANSPORT
361,BAE Gezisi - Fuat Pamukçu,Şehir içi ve otel transferleri,HAS_TRANSPORT
362,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Bali,HAS_CITY
363,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Bangkok,HAS_CITY
364,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Endonezya,HAS_COUNTRY
365,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,Tayland,HAS_COUNTRY
366,BALKAN CULTURE TOUR 2025,BULGARIA,HAS_COUNTRY
367,BALKAN CULTURE TOUR 2025,BUS,HAS_TRANSPORT
368,BALKAN CULTURE TOUR 2025,CULTURE,HAS_HIGHLIGHT
369,BALKAN CULTURE TOUR 2025,HISTORY,HAS_HIGHLIGHT
370,BALKAN CULTURE TOUR 2025,LEG1,HAS_CITY
371,BALKAN CULTURE TOUR 2025,LEG2,HAS_CITY
372,BALKAN CULTURE TOUR 2025,NORTH MACEDONIA,HAS_COUNTRY
373,BALKAN CULTURE TOUR 2025,TURKEY,HAS_COUNTRY
374,BALKANS 2025,BULGARIA,HAS_COUNTRY
375,BALKANS 2025,BUS,HAS_TRANSPORT
376,BALKANS 2025,CULTURE,HAS_HIGHLIGHT
377,BALKANS 2025,LEG1,HAS_CITY
378,BALKANS 2025,LEG2,HAS_CITY
379,BALKANS 2025,NORTH MACEDONIA,HAS_COUNTRY
380,BALKANS 2025,TURKEY,HAS_COUNTRY
381,BALKANS LOOP 2025,BULGARIA,HAS_COUNTRY
382,BALKANS LOOP 2025,BUS,HAS_TRANSPORT
383,BALKANS LOOP 2025,CULTURE,HAS_HIGHLIGHT
384,BALKANS LOOP 2025,LEG1,HAS_CITY
385,BALKANS LOOP 2025,LEG2,HAS_CITY
386,BALKANS LOOP 2025,NORTH MACEDONIA,HAS_COUNTRY
387,BALKANS LOOP 2025,TURKEY,HAS_COUNTRY
388,BARCELONA,CASA BATLLO,HAS_ACTIVITY
389,BARCELONA,COLOSSEUM,HAS_ACTIVITY
390,BARCELONA,EIFFEL TOWER,HAS_ACTIVITY
391,BARCELONA,EIXAMPLE HOTEL,HAS_HOTEL
392,BARCELONA,FORUM INN,HAS_HOTEL
